# PBC Ising L=16, dps=50, h_fd=1e-05
#       beta              logZ/N            energy/N                  cv
    0.1274      0.712308240429     -0.261843589141      0.035194107591
    0.1275      0.712334435631     -0.262060438729      0.035253843761
    0.1276      0.712360652518     -0.262277315793      0.035313641383
    0.1277      0.712386891095     -0.262494220360      0.035373500493
    0.1278      0.712413151363     -0.262711152454      0.035433421129
    0.1279      0.712439433326     -0.262928112100      0.035493403329
    0.1280      0.712465736986     -0.263145099323      0.035553447129
    0.1281      0.712492062347     -0.263362114148      0.035613552566
    0.1282      0.712518409410     -0.263579156601      0.035673719678
    0.1283      0.712544778179     -0.263796226706      0.035733948503
    0.1284      0.712571168656     -0.264013324489      0.035794239078
    0.1285      0.712597580845     -0.264230449974      0.035854591441
    0.1286      0.712624014747     -0.264447603186      0.035915005628
    0.1287      0.712650470366     -0.264664784152      0.035975481678
    0.1288      0.712676947705     -0.264881992895      0.036036019628
    0.1289      0.712703446766     -0.265099229442      0.036096619516
    0.1290      0.712729967552     -0.265316493816      0.036157281379
    0.1291      0.712756510066     -0.265533786044      0.036218005256
    0.1292      0.712783074310     -0.265751106150      0.036278791184
    0.1293      0.712809660288     -0.265968454159      0.036339639200
    0.1294      0.712836268002     -0.266185830098      0.036400549344
    0.1295      0.712862897455     -0.266403233990      0.036461521652
    0.1296      0.712889548649     -0.266620665862      0.036522556163
    0.1297      0.712916221589     -0.266838125738      0.036583652914
    0.1298      0.712942916276     -0.267055613643      0.036644811944
    0.1299      0.712969632712     -0.267273129604      0.036706033291
    0.1300      0.712996370902     -0.267490673644      0.036767316993
    0.1301      0.713023130848     -0.267708245790      0.036828663088
    0.1302      0.713049912552     -0.267925846066      0.036890071614
    0.1303      0.713076716018     -0.268143474498      0.036951542610
    0.1304      0.713103541248     -0.268361131111      0.037013076113
    0.1305      0.713130388245     -0.268578815930      0.037074672163
    0.1306      0.713157257012     -0.268796528981      0.037136330798
    0.1307      0.713184147552     -0.269014270288      0.037198052055
    0.1308      0.713211059867     -0.269232039878      0.037259835974
    0.1309      0.713237993961     -0.269449837776      0.037321682592
    0.1310      0.713264949836     -0.269667664006      0.037383591950
    0.1311      0.713291927495     -0.269885518595      0.037445564084
    0.1312      0.713318926941     -0.270103401567      0.037507599035
    0.1313      0.713345948176     -0.270321312948      0.037569696839
    0.1314      0.713372991204     -0.270539252764      0.037631857537
    0.1315      0.713400056028     -0.270757221039      0.037694081167
    0.1316      0.713427142649     -0.270975217799      0.037756367768
    0.1317      0.713454251072     -0.271193243070      0.037818717378
    0.1318      0.713481381299     -0.271411296876      0.037881130037
    0.1319      0.713508533332     -0.271629379244      0.037943605783
    0.1320      0.713535707176     -0.271847490198      0.038006144656
    0.1321      0.713562902831     -0.272065629765      0.038068746694
    0.1322      0.713590120302     -0.272283797969      0.038131411937
    0.1323      0.713617359592     -0.272501994836      0.038194140423
    0.1324      0.713644620702     -0.272720220392      0.038256932192
    0.1325      0.713671903637     -0.272938474662      0.038319787284
    0.1326      0.713699208398     -0.273156757671      0.038382705736
    0.1327      0.713726534989     -0.273375069446      0.038445687589
    0.1328      0.713753883413     -0.273593410010      0.038508732882
    0.1329      0.713781253672     -0.273811779391      0.038571841655
    0.1330      0.713808645770     -0.274030177614      0.038635013946
    0.1331      0.713836059709     -0.274248604703      0.038698249795
