# Device: cuda:3 | TF32 disabled: True
# L=32,  N=1024 spins,  beta_c = ln(1+sqrt(2))/2 ~ 0.44069
# Derivatives: central finite difference, h=0.0001
# Precomputation: 0.76s | Matrix: 3968x3968 | ~0.23 GB/tensor
#     beta            logZ/N      FreeEnergy/N          Energy/N                Cv     dt(s)
  0.1290      0.7094862331     -5.4998932797     -0.2567466269      0.0349142422     0.242
  0.1291      0.7095119182     -5.4958320545     -0.2569564484      0.0349726959     0.219
  0.1292      0.7095376244     -5.4917772785     -0.2571662957      0.0350312083     0.229
  0.1293      0.7095633515     -5.4877289366     -0.2573761688      0.0350897797     0.235
  0.1294      0.7095890996     -5.4836870140     -0.2575860678      0.0351484115     0.219
  0.1295      0.7096148687     -5.4796514958     -0.2577959927      0.0352071012     0.213
  0.1296      0.7096406588     -5.4756223673     -0.2580059435      0.0352658488     0.169
  0.1297      0.7096664699     -5.4715996137     -0.2582159203      0.0353246590     0.146
  0.1298      0.7096923020     -5.4675832203     -0.2584259230      0.0353835270     0.148
  0.1299      0.7097181551     -5.4635731723     -0.2586359517      0.0354424540     0.145
  0.1300      0.7097440292     -5.4595694553     -0.2588460063      0.0355014403     0.147
  0.1301      0.7097699243     -5.4555720545     -0.2590560871      0.0355604867     0.168
  0.1302      0.7097958404     -5.4515809555     -0.2592661938      0.0356195930     0.186
  0.1303      0.7098217775     -5.4475961437     -0.2594763267      0.0356787569     0.193
  0.1304      0.7098477357     -5.4436176048     -0.2596864856      0.0357379822     0.232
  0.1305      0.7098737148     -5.4396453243     -0.2598966707      0.0357972670     0.221
  0.1306      0.7098997150     -5.4356792879     -0.2601068819      0.0358566108     0.261
  0.1307      0.7099257362     -5.4317194812     -0.2603171192      0.0359160141     0.239
  0.1308      0.7099517784     -5.4277658901     -0.2605273828      0.0359754791     0.267
  0.1309      0.7099778417     -5.4238185002     -0.2607376726      0.0360349990     0.239
  0.1310      0.7100039260     -5.4198772974     -0.2609479886      0.0360945842     0.244
  0.1311      0.7100300313     -5.4159422675     -0.2611583309      0.0361542254     0.214
  0.1312      0.7100561576     -5.4120133965     -0.2613686994      0.0362139296     0.191
  0.1313      0.7100823050     -5.4080906703     -0.2615790943      0.0362736898     0.180
  0.1314      0.7101084734     -5.4041740749     -0.2617895155      0.0363335138     0.156
  0.1315      0.7101346629     -5.4002635963     -0.2619999630      0.0363933937     0.144
  0.1316      0.7101608734     -5.3963592206     -0.2622104370      0.0364533378     0.169
  0.1317      0.7101871050     -5.3924609340     -0.2624209373      0.0365133379     0.227
  0.1318      0.7102133576     -5.3885687225     -0.2626314640      0.0365734021     0.247
  0.1319      0.7102396313     -5.3846825724     -0.2628420172      0.0366335236     0.269
